"No.","Time","Source","Destination","Protocol","Length","Info"
"64","10.397016","192.168.0.111","63.251.140.21","UDP","70","18334  >  27024 Len=28"
"66","11.409547","192.168.0.111","63.251.140.21","UDP","74","18334  >  27024 Len=32"
"71","12.409650","192.168.0.111","63.251.140.21","UDP","74","18334  >  27024 Len=32"
"75","12.829556","192.168.0.111","63.251.140.21","UDP","70","18334  >  27024 Len=28"
"76","13.404291","192.168.0.111","63.251.140.21","UDP","74","18334  >  27024 Len=32"
"78","13.906813","192.168.0.111","162.247.241.1","TCP","54","[TCP ACKed unseen segment] 50512  >  443 [ACK] Seq=1 Ack=2 Win=513 Len=0"
"80","14.398216","192.168.0.111","63.251.140.21","UDP","74","18334  >  27024 Len=32"
"81","14.654140","192.168.0.111","104.18.18.119","TLSv1.2","2297","Application Data"
"87","14.932270","192.168.0.111","104.18.18.119","TCP","54","50377  >  443 [ACK] Seq=4487 Ack=3443 Win=514 Len=0"
"89","14.971172","192.168.0.111","162.247.241.1","TCP","54","[TCP ACKed unseen segment] 50268  >  443 [ACK] Seq=1 Ack=2 Win=513 Len=0"
"90","15.068229","192.168.0.111","162.247.241.1","TCP","55","[TCP Keep-Alive] 50192  >  443 [ACK] Seq=0 Ack=2 Win=513 Len=1"
"92","15.160866","192.168.0.111","104.16.55.40","TCP","55","50191  >  443 [ACK] Seq=1 Ack=1 Win=509 Len=1 [TCP segment of a reassembled PDU]"
"94","15.395747","192.168.0.111","63.251.140.21","UDP","74","18334  >  27024 Len=32"
"98","16.397889","192.168.0.111","63.251.140.21","UDP","74","18334  >  27024 Len=32"
"99","16.397986","192.168.0.111","63.251.140.21","UDP","70","18334  >  27024 Len=28"
"101","16.831368","192.168.0.111","74.201.103.198","TCP","66","50523  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"103","16.965447","192.168.0.111","74.201.103.198","TCP","54","50523  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"104","16.965483","192.168.0.111","74.201.103.198","TCP","54","50523  >  443 [FIN, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"105","17.361525","192.168.0.111","74.201.103.198","TCP","54","[TCP Retransmission] 50523  >  443 [FIN, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"106","17.410203","192.168.0.111","63.251.140.21","UDP","74","18334  >  27024 Len=32"
"110","17.829033","192.168.0.111","63.251.140.21","UDP","70","18334  >  27024 Len=28"
"111","18.228136","192.168.0.111","172.65.250.49","TLSv1.2","84","Application Data"
"113","18.401180","192.168.0.111","63.251.140.21","UDP","74","18334  >  27024 Len=32"
"116","19.396571","192.168.0.111","63.251.140.21","UDP","74","18334  >  27024 Len=32"
"119","20.401675","192.168.0.111","63.251.140.21","UDP","74","18334  >  27024 Len=32"
"120","21.395814","192.168.0.111","63.251.140.21","UDP","74","18334  >  27024 Len=32"
"124","21.959992","192.168.0.111","8.241.199.252","TCP","54","50250  >  443 [ACK] Seq=1 Ack=26 Win=513 Len=0"
"126","22.409104","192.168.0.111","63.251.140.21","UDP","74","18334  >  27024 Len=32"
"127","22.409176","192.168.0.111","63.251.140.21","UDP","70","18334  >  27024 Len=28"
"129","22.719074","192.168.0.111","23.37.228.51","TCP","55","50251  >  443 [ACK] Seq=1 Ack=1 Win=513 Len=1 [TCP segment of a reassembled PDU]"
"131","22.763960","192.168.0.111","23.37.228.32","TCP","55","50245  >  443 [ACK] Seq=1 Ack=1 Win=513 Len=1 [TCP segment of a reassembled PDU]"
"134","22.842612","192.168.0.111","63.251.140.21","UDP","70","18334  >  27024 Len=28"
"136","23.399748","192.168.0.111","63.251.140.21","UDP","74","18334  >  27024 Len=32"
"138","23.991121","192.168.0.111","162.247.241.10","TCP","54","[TCP Dup ACK 57#1] 50359  >  443 [ACK] Seq=1 Ack=2 Win=513 Len=0"
"141","24.039430","192.168.0.111","162.247.241.1","TCP","54","[TCP Dup ACK 59#1] 50357  >  443 [ACK] Seq=1 Ack=2 Win=517 Len=0"
"142","24.396163","192.168.0.111","63.251.140.21","UDP","74","18334  >  27024 Len=32"
"145","24.412800","192.168.0.111","172.65.250.49","TCP","54","[TCP ACKed unseen segment] 50255  >  5223 [ACK] Seq=31 Ack=1772 Win=514 Len=0"
"150","25.204661","192.168.0.111","104.18.25.250","TCP","54","50348  >  443 [ACK] Seq=1 Ack=400 Win=514 Len=0"
"151","25.219566","192.168.0.111","104.18.25.250","TCP","54","50256  >  443 [ACK] Seq=1 Ack=400 Win=514 Len=0"
"152","25.378224","192.168.0.111","104.18.18.119","TLSv1.2","2297","Application Data"
"153","25.407439","192.168.0.111","63.251.140.21","UDP","74","18334  >  27024 Len=32"
"159","25.648732","192.168.0.111","104.18.18.119","TCP","54","50377  >  443 [ACK] Seq=6730 Ack=5163 Win=514 Len=0"
"160","26.134865","192.168.0.111","104.18.10.21","TLSv1.2","271","Application Data"
"163","26.191213","192.168.0.111","104.18.10.21","TLSv1.2","3847","Application Data"
"166","26.402672","192.168.0.111","63.251.140.21","UDP","74","18334  >  27024 Len=32"
"168","26.420740","192.168.0.111","104.18.10.21","TCP","54","50405  >  8443 [ACK] Seq=4011 Ack=2928 Win=514 Len=0"
"171","26.421890","192.168.0.111","104.18.10.21","TCP","54","50405  >  8443 [ACK] Seq=4011 Ack=4826 Win=514 Len=0"
"172","26.489949","192.168.0.111","104.18.10.21","TLSv1.2","271","Application Data"
"176","26.545460","192.168.0.111","104.18.10.21","TLSv1.2","3927","Application Data"
"179","26.713881","192.168.0.111","52.226.139.185","TLSv1.2","153","Application Data"
"181","26.814536","192.168.0.111","104.18.10.21","TCP","54","50405  >  8443 [ACK] Seq=8101 Ack=5687 Win=510 Len=0"
"183","26.931249","192.168.0.111","52.226.139.185","TCP","54","49853  >  443 [ACK] Seq=100 Ack=170 Win=513 Len=0"
"184","26.978582","192.168.0.111","74.201.103.198","TCP","66","50528  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"185","27.085137","192.168.0.111","8.8.8.8","DNS","94","Standard query 0x3ed9 A tile-service.weather.microsoft.com"
"187","27.110818","192.168.0.111","74.201.103.198","TCP","54","50528  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"188","27.110856","192.168.0.111","74.201.103.198","TCP","54","50528  >  443 [FIN, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"189","27.150011","192.168.0.111","8.8.4.4","DNS","94","Standard query 0x3ed9 A tile-service.weather.microsoft.com"
"192","27.397315","192.168.0.111","63.251.140.21","UDP","74","18334  >  27024 Len=32"
"193","27.439404","192.168.0.111","104.122.253.121","TCP","66","50530  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"195","27.489897","192.168.0.111","104.122.253.121","TCP","54","50530  >  80 [ACK] Seq=1 Ack=1 Win=132352 Len=0"
"196","27.490013","192.168.0.111","104.122.253.121","HTTP","267","GET /pt-BR/livetile/preinstall?region=BR&appid=C98EA5B0842DBB9405BBF071E1DA76512D21FE36&FORM=Threshold HTTP/1.1 "
"197","27.503862","192.168.0.111","74.201.103.198","TCP","54","[TCP Retransmission] 50528  >  443 [FIN, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"201","27.581544","192.168.0.111","104.122.253.121","TCP","54","50530  >  80 [ACK] Seq=214 Ack=339 Win=132096 Len=0"
"206","27.782580","192.168.0.111","104.18.25.250","TCP","54","50256  >  443 [ACK] Seq=1 Ack=599 Win=513 Len=0"
"207","27.782578","192.168.0.111","104.18.25.250","TCP","54","50348  >  443 [ACK] Seq=1 Ack=599 Win=513 Len=0"
"209","27.906417","192.168.0.111","63.251.140.21","UDP","70","18334  >  27024 Len=28"
"210","27.995995","192.168.0.111","104.18.18.119","TLSv1.2","2297","Application Data"
"212","28.047809","192.168.0.111","8.8.8.8","DNS","83","Standard query 0x696d A metric-api.newrelic.com"
"216","28.101009","192.168.0.111","162.247.241.10","TCP","66","50533  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"218","28.159297","192.168.0.111","162.247.241.10","TCP","54","50533  >  443 [ACK] Seq=1 Ack=1 Win=132352 Len=0"
"219","28.159800","192.168.0.111","162.247.241.10","TLSv1.3","571","Client Hello"
"224","28.215557","192.168.0.111","162.247.241.10","TCP","54","50533  >  443 [ACK] Seq=518 Ack=3456 Win=132352 Len=0"
"225","28.217669","192.168.0.111","162.247.241.10","TLSv1.3","118","Change Cipher Spec, Application Data"
"226","28.218542","192.168.0.111","162.247.241.10","TLSv1.3","1136","Application Data"
"229","28.266975","192.168.0.111","104.18.18.119","TCP","54","50377  >  443 [ACK] Seq=8973 Ack=7352 Win=514 Len=0"
"232","28.308580","192.168.0.111","104.18.18.119","TCP","54","50377  >  443 [ACK] Seq=8973 Ack=7379 Win=513 Len=0"
"233","28.308962","192.168.0.111","104.18.18.119","TLSv1.2","2260","Application Data"
"234","28.309049","192.168.0.111","104.18.18.119","TLSv1.2","121","Application Data"
"235","28.311092","192.168.0.111","8.8.8.8","DNS","75","Standard query 0x7c53 A pd.na.a.pvp.net"
"238","28.368937","192.168.0.111","104.18.19.119","TCP","66","50534  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"239","28.369195","192.168.0.111","104.18.19.119","TCP","66","50535  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"240","28.369450","192.168.0.111","104.18.19.119","TCP","66","50536  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"241","28.369620","192.168.0.111","104.18.19.119","TCP","66","50537  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"242","28.402862","192.168.0.111","63.251.140.21","UDP","74","18334  >  27024 Len=32"
"243","28.402945","192.168.0.111","63.251.140.21","UDP","70","18334  >  27024 Len=28"
"248","28.432848","192.168.0.111","104.18.19.119","TCP","54","50534  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0"
"249","28.432911","192.168.0.111","104.18.19.119","TCP","54","50537  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0"
"250","28.432943","192.168.0.111","104.18.19.119","TCP","54","50535  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0"
"251","28.450389","192.168.0.111","104.18.19.119","TLSv1.3","571","Client Hello"
"252","28.452201","192.168.0.111","104.18.19.119","TLSv1.3","571","Client Hello"
"253","28.453949","192.168.0.111","104.18.19.119","TLSv1.3","571","Client Hello"
"256","28.503405","192.168.0.111","104.18.19.119","TCP","54","50536  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0"
"258","28.508246","192.168.0.111","162.247.241.10","TCP","54","50533  >  443 [ACK] Seq=1664 Ack=4365 Win=131328 Len=0"
"263","28.512761","192.168.0.111","104.18.19.119","TCP","54","50534  >  443 [ACK] Seq=518 Ack=4192 Win=131584 Len=0"
"266","28.513318","192.168.0.111","104.18.19.119","TCP","54","50535  >  443 [ACK] Seq=518 Ack=4192 Win=131584 Len=0"
"269","28.520442","192.168.0.111","104.18.19.119","TCP","54","50537  >  443 [ACK] Seq=518 Ack=4192 Win=131584 Len=0"
"270","28.521470","192.168.0.111","104.18.19.119","TLSv1.3","134","Change Cipher Spec, Application Data"
"271","28.522231","192.168.0.111","104.18.19.119","TLSv1.3","2260","Application Data"
"272","28.522344","192.168.0.111","104.18.19.119","TLSv1.3","121","Application Data"
"273","28.524045","192.168.0.111","104.18.19.119","TLSv1.3","134","Change Cipher Spec, Application Data"
"274","28.524344","192.168.0.111","104.18.19.119","TLSv1.3","2260","Application Data"
"275","28.524500","192.168.0.111","104.18.19.119","TLSv1.3","121","Application Data"
"276","28.527273","192.168.0.111","104.18.19.119","TLSv1.3","571","Client Hello"
"277","28.529289","192.168.0.111","104.18.19.119","TLSv1.3","134","Change Cipher Spec, Application Data"
"278","28.529574","192.168.0.111","104.18.19.119","TLSv1.3","2260","Application Data"
"279","28.529654","192.168.0.111","104.18.19.119","TLSv1.3","121","Application Data"
"290","28.596236","192.168.0.111","104.18.18.119","TCP","54","50486  >  443 [ACK] Seq=2274 Ack=464 Win=514 Len=0"
"294","28.654915","192.168.0.111","104.18.19.119","TCP","54","50536  >  443 [ACK] Seq=518 Ack=4192 Win=131584 Len=0"
"295","28.660915","192.168.0.111","104.18.19.119","TLSv1.3","134","Change Cipher Spec, Application Data"
"296","28.661178","192.168.0.111","104.18.19.119","TLSv1.3","2260","Application Data"
"297","28.661360","192.168.0.111","104.18.19.119","TLSv1.3","121","Application Data"
"302","28.820001","192.168.0.111","104.18.19.119","TCP","54","50537  >  443 [ACK] Seq=2871 Ack=5160 Win=130560 Len=0"
"305","28.822080","192.168.0.111","104.18.19.119","TCP","54","50535  >  443 [ACK] Seq=2871 Ack=5154 Win=130560 Len=0"
"308","28.842665","192.168.0.111","104.18.19.119","TCP","54","50534  >  443 [ACK] Seq=2871 Ack=5152 Win=130560 Len=0"
"311","28.904574","192.168.0.111","104.18.19.119","TCP","54","50536  >  443 [ACK] Seq=2871 Ack=5161 Win=130560 Len=0"
"312","28.913252","192.168.0.111","104.18.18.119","TLSv1.2","78","Application Data"
"313","28.913370","192.168.0.111","104.18.18.119","TCP","54","50503  >  443 [FIN, ACK] Seq=25 Ack=1 Win=513 Len=0"
"316","28.969793","192.168.0.111","104.18.18.119","TCP","54","50503  >  443 [ACK] Seq=26 Ack=2 Win=513 Len=0"
"317","28.988462","192.168.0.111","162.247.241.1","TCP","55","[TCP Keep-Alive] 50268  >  443 [ACK] Seq=0 Ack=2 Win=513 Len=1"
"319","29.049985","192.168.0.111","104.16.55.40","TCP","55","50269  >  443 [ACK] Seq=1 Ack=1 Win=514 Len=1 [TCP segment of a reassembled PDU]"
"322","29.377713","192.168.0.111","162.247.241.1","TCP","54","[TCP Dup ACK 78#1] 50512  >  443 [ACK] Seq=1 Ack=2 Win=513 Len=0"
"323","29.404899","192.168.0.111","63.251.140.21","UDP","74","18334  >  27024 Len=32"
"325","30.248339","192.168.0.111","162.247.241.1","TCP","54","[TCP Keep-Alive ACK] 50192  >  443 [ACK] Seq=1 Ack=2 Win=513 Len=0"
"326","30.404657","192.168.0.111","63.251.140.21","UDP","74","18334  >  27024 Len=32"
"329","31.396996","192.168.0.111","63.251.140.21","UDP","74","18334  >  27024 Len=32"
"331","32.406898","192.168.0.111","63.251.140.21","UDP","74","18334  >  27024 Len=32"
"335","32.889377","192.168.0.111","63.251.140.21","UDP","70","18334  >  27024 Len=28"
"338","33.073845","192.168.0.111","104.18.25.250","TCP","54","50256  >  443 [ACK] Seq=1 Ack=799 Win=512 Len=0"
"340","33.076089","192.168.0.111","104.18.25.250","TCP","54","50348  >  443 [ACK] Seq=1 Ack=1352 Win=510 Len=0"
"342","33.119094","192.168.0.111","104.18.25.250","TCP","54","50256  >  443 [ACK] Seq=1 Ack=1352 Win=510 Len=0"
"346","33.175899","192.168.0.111","104.18.25.250","TCP","54","50348  >  443 [ACK] Seq=1 Ack=1753 Win=508 Len=0"
"349","33.179108","192.168.0.111","104.18.25.250","TCP","54","50256  >  443 [ACK] Seq=1 Ack=1753 Win=508 Len=0"
"351","33.180824","192.168.0.111","104.18.25.250","TCP","54","50348  >  443 [ACK] Seq=1 Ack=2152 Win=514 Len=0"
"356","33.183590","192.168.0.111","104.18.25.250","TCP","54","50256  >  443 [ACK] Seq=1 Ack=2349 Win=514 Len=0"
"357","33.228264","192.168.0.111","104.18.25.250","TCP","54","50348  >  443 [ACK] Seq=1 Ack=2349 Win=513 Len=0"
"358","33.251537","192.168.0.111","104.18.18.119","TLSv1.2","2297","Application Data"
"359","33.308268","192.168.0.111","172.65.250.49","TLSv1.2","237","Application Data"
"363","33.400896","192.168.0.111","63.251.140.21","UDP","74","18334  >  27024 Len=32"
"366","33.529226","192.168.0.111","104.18.18.119","TCP","54","50377  >  443 [ACK] Seq=11216 Ack=9559 Win=514 Len=0"
"368","33.535457","192.168.0.111","104.18.19.119","TLSv1.2","78","Application Data"
"369","33.535588","192.168.0.111","104.18.19.119","TCP","54","50489  >  443 [FIN, ACK] Seq=25 Ack=1 Win=514 Len=0"
"373","33.563104","192.168.0.111","172.65.250.49","TCP","54","[TCP ACKed unseen segment] 50255  >  5223 [ACK] Seq=214 Ack=2764 Win=510 Len=0"
"374","33.571318","192.168.0.111","104.18.18.119","TCP","54","50377  >  443 [ACK] Seq=11216 Ack=9586 Win=513 Len=0"
"377","33.594051","192.168.0.111","104.18.19.119","TCP","54","50489  >  443 [ACK] Seq=26 Ack=2 Win=514 Len=0"
"378","33.705224","192.168.0.111","104.18.18.119","TLSv1.2","2299","Application Data"
"379","33.705565","192.168.0.111","104.18.18.119","TCP","66","50541  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"380","33.755095","192.168.0.111","104.18.18.119","TCP","66","50542  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"384","33.761311","192.168.0.111","104.18.18.119","TCP","54","50541  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0"
"385","33.772115","192.168.0.111","104.18.18.119","TLSv1.3","571","Client Hello"
"389","33.830354","192.168.0.111","104.18.18.119","TCP","54","50541  >  443 [ACK] Seq=518 Ack=4192 Win=131584 Len=0"
"390","33.832062","192.168.0.111","104.18.18.119","TLSv1.3","134","Change Cipher Spec, Application Data"
"391","33.832405","192.168.0.111","104.18.18.119","TLSv1.3","2299","Application Data"
"394","33.887810","192.168.0.111","104.18.18.119","TCP","54","50542  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0"
"395","33.897862","192.168.0.111","104.18.18.119","TLSv1.3","571","Client Hello"
"401","33.993132","192.168.0.111","104.18.18.119","TCP","54","50377  >  443 [ACK] Seq=13461 Ack=10083 Win=512 Len=0"
"403","34.021168","192.168.0.111","104.18.18.119","TLSv1.2","2299","Application Data"
"407","34.026385","192.168.0.111","104.18.18.119","TCP","54","50542  >  443 [ACK] Seq=518 Ack=4192 Win=131584 Len=0"
"408","34.032823","192.168.0.111","104.18.18.119","TLSv1.3","134","Change Cipher Spec, Application Data"
"409","34.033265","192.168.0.111","104.18.18.119","TLSv1.3","3484","Application Data"
"410","34.039986","192.168.0.111","104.18.25.250","TCP","54","50256  >  443 [ACK] Seq=1 Ack=2549 Win=513 Len=0"
"411","34.041459","192.168.0.111","104.18.25.250","TCP","54","50348  >  443 [ACK] Seq=1 Ack=2549 Win=512 Len=0"
"416","34.122132","192.168.0.111","104.18.18.119","TCP","54","50541  >  443 [ACK] Seq=2843 Ack=5160 Win=130560 Len=0"
"422","34.285939","192.168.0.111","104.18.18.119","TCP","54","50542  >  443 [ACK] Seq=4028 Ack=5848 Win=131584 Len=0"
"423","34.305285","192.168.0.111","104.18.18.119","TLSv1.3","2299","Application Data"
"427","34.314965","192.168.0.111","104.18.18.119","TCP","54","50377  >  443 [ACK] Seq=15706 Ack=12233 Win=514 Len=0"
"428","34.335238","192.168.0.111","104.18.18.119","TLSv1.2","3493","Application Data"
"429","34.335480","192.168.0.111","172.65.250.49","TLSv1.2","1772","Application Data"
"430","34.335530","192.168.0.111","104.18.18.119","TLSv1.3","3492","Application Data"
"431","34.335802","192.168.0.111","104.18.18.119","TCP","66","50543  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"440","34.392652","192.168.0.111","104.18.18.119","TCP","54","50543  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0"
"441","34.397418","192.168.0.111","63.251.140.21","UDP","74","18334  >  27024 Len=32"
"442","34.397643","192.168.0.111","63.251.140.21","UDP","70","18334  >  27024 Len=28"
"443","34.401901","192.168.0.111","104.18.18.119","TLSv1.3","571","Client Hello"
"447","34.459899","192.168.0.111","104.18.18.119","TCP","54","50543  >  443 [ACK] Seq=518 Ack=4192 Win=131584 Len=0"
"449","34.466021","192.168.0.111","104.18.18.119","TLSv1.3","134","Change Cipher Spec, Application Data"
"450","34.466259","192.168.0.111","104.18.18.119","TLSv1.3","2308","Application Data"
"454","34.551060","192.168.0.111","172.65.250.49","TLSv1.2","3004","[TCP ACKed unseen segment] , Application Data"
"459","34.572932","192.168.0.111","104.18.18.119","TCP","54","50541  >  443 [ACK] Seq=5088 Ack=7332 Win=131584 Len=0"
"463","34.586456","192.168.0.111","104.18.18.119","TCP","54","50542  >  443 [ACK] Seq=7466 Ack=7018 Win=130304 Len=0"
"467","34.590488","192.168.0.111","172.65.250.49","TCP","54","50255  >  5223 [ACK] Seq=4882 Ack=4609 Win=514 Len=0"
"470","34.591489","192.168.0.111","172.65.250.49","TCP","54","50255  >  5223 [ACK] Seq=4882 Ack=6681 Win=514 Len=0"
"476","34.631320","192.168.0.111","104.18.18.119","TCP","54","50377  >  443 [ACK] Seq=19145 Ack=13414 Win=509 Len=0"
"477","34.638552","192.168.0.111","104.18.18.119","TLSv1.2","78","Application Data"
"478","34.638701","192.168.0.111","104.18.18.119","TCP","54","50486  >  443 [FIN, ACK] Seq=2298 Ack=464 Win=514 Len=0"
"481","34.697519","192.168.0.111","104.18.18.119","TCP","54","50486  >  443 [ACK] Seq=2299 Ack=465 Win=514 Len=0"
"485","34.963482","192.168.0.111","104.18.18.119","TCP","54","50543  >  443 [ACK] Seq=2852 Ack=7472 Win=131584 Len=0"
"488","34.963641","192.168.0.111","104.18.18.119","TCP","54","50543  >  443 [ACK] Seq=2852 Ack=9157 Win=131584 Len=0"
"490","35.159219","192.168.0.111","104.18.18.119","TCP","54","50543  >  443 [ACK] Seq=2852 Ack=11939 Win=131584 Len=0"
"493","35.160037","192.168.0.111","104.18.18.119","TCP","54","50543  >  443 [ACK] Seq=2852 Ack=13779 Win=131584 Len=0"
"496","35.360153","192.168.0.111","104.18.18.119","TCP","54","50543  >  443 [ACK] Seq=2852 Ack=16275 Win=131584 Len=0"
"498","35.407026","192.168.0.111","104.18.18.119","TCP","54","50543  >  443 [ACK] Seq=2852 Ack=16313 Win=131328 Len=0"
"499","35.407948","192.168.0.111","63.251.140.21","UDP","74","18334  >  27024 Len=32"
"503","35.561788","192.168.0.111","104.18.18.119","TCP","54","50543  >  443 [ACK] Seq=2852 Ack=18717 Win=131584 Len=0"
"505","35.562270","192.168.0.111","104.18.18.119","TCP","54","50543  >  443 [ACK] Seq=2852 Ack=19006 Win=131072 Len=0"
"508","35.765693","192.168.0.111","104.18.18.119","TCP","54","50543  >  443 [ACK] Seq=2852 Ack=19519 Win=130560 Len=0"
"509","35.771032","192.168.0.111","104.18.19.119","TLSv1.3","78","Application Data"
"510","35.771174","192.168.0.111","104.18.19.119","TCP","54","50534  >  443 [FIN, ACK] Seq=2895 Ack=5152 Win=130560 Len=0"
"512","35.830752","192.168.0.111","104.18.19.119","TCP","54","50534  >  443 [ACK] Seq=2896 Ack=5153 Win=130560 Len=0"
"515","36.404451","192.168.0.111","63.251.140.21","UDP","74","18334  >  27024 Len=32"
"518","37.126236","192.168.0.111","74.201.103.198","TCP","66","50545  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"520","37.262359","192.168.0.111","74.201.103.198","TCP","54","50545  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"521","37.262407","192.168.0.111","74.201.103.198","TCP","54","50545  >  443 [FIN, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"522","37.404693","192.168.0.111","63.251.140.21","UDP","74","18334  >  27024 Len=32"
"523","37.667650","192.168.0.111","74.201.103.198","TCP","54","[TCP Retransmission] 50545  >  443 [FIN, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"526","37.701251","192.168.0.111","172.65.250.49","TCP","54","[TCP ACKed unseen segment] 50255  >  5223 [ACK] Seq=4882 Ack=8664 Win=514 Len=0"
"529","37.701798","192.168.0.111","172.65.250.49","TCP","54","50255  >  5223 [ACK] Seq=4882 Ack=10745 Win=514 Len=0"
"531","37.702884","192.168.0.111","172.65.250.49","TCP","54","50255  >  5223 [ACK] Seq=4882 Ack=13625 Win=514 Len=0"
"535","37.704466","192.168.0.111","172.65.250.49","TCP","54","50255  >  5223 [ACK] Seq=4882 Ack=16903 Win=514 Len=0"
"539","37.749166","192.168.0.111","172.65.250.49","TCP","54","50255  >  5223 [ACK] Seq=4882 Ack=18892 Win=514 Len=0"
"543","37.904135","192.168.0.111","63.251.140.21","UDP","70","18334  >  27024 Len=28"
